QuoteNumber,QuoteConversion_Flag
3,4.187051e-06
5,0.005815459
7,0.00023137846
9,0.00030406634
10,0.5937579
11,0.0036763477
15,4.361788e-07
16,0.0011332354
17,3.6493495e-07
21,6.987244e-11
23,0.0022910556
24,0.47285753
27,9.6698614e-08
31,0.12062811
33,0.017703937
34,0.02477349
36,3.7165455e-07
39,5.589586e-06
42,0.028939027
43,0.06974009
46,0.021707432
48,0.073211245
49,0.13352364
52,0.0033175952
54,0.9967018
55,0.9414771
56,0.9998994
58,0.005779632
60,2.5053762e-07
61,0.00035124132
63,0.22405319
67,0.02694029
68,1.4147633e-06
69,0.5383159
75,1.0340525e-07
81,0.00013265076
82,0.04607949
98,0.06509942
100,0.00020469399
107,0.16631001
108,0.99975556
110,0.006515816
113,0.00039669222
115,6.936814e-06
116,0.029462406
119,0.015832651
120,0.00752691
122,8.8822566e-07
125,0.99964464
130,5.1701966e-07
132,0.27741227
135,2.1151698e-05
137,0.00030320024
138,0.08065761
144,0.00029202638
145,0.0061337273
146,0.0074714352
150,0.19703875
155,0.00019044982
158,0.0003097104
159,1.0559584e-06
160,1.0175847e-06
162,0.040299106
163,6.091283e-07
164,4.755061e-08
165,8.3703225e-07
168,0.0025334419
172,0.0298309
173,0.99991274
174,0.0035229765
175,1.40909615e-05
176,0.07892719
178,8.8453845e-07
181,0.00024767834
183,4.237322e-07
190,0.9468456
198,2.9109135e-06
200,0.0025040668
201,1.9464925e-07
204,0.038972553
205,0.7962362
207,1.0
210,0.009914072
211,0.99990904
213,7.307214e-06
215,2.2337554e-05
218,1.2930196e-06
222,1.3540625e-09
223,0.0070878523
227,0.9999919
228,3.419499e-07
231,0.7993031
238,0.064189315
241,4.278037e-06
245,1.4407847e-05
253,2.4764715e-09
257,0.6583595
263,0.04170696
264,3.5093015e-06
265,1.6838834e-08
274,0.0023552116
275,0.35388616
276,0.037756417
279,0.020333597
280,5.4793606e-08
282,0.0013806715
283,0.13525893
285,0.52097136
289,0.008038848
290,0.004663905
292,0.3948951
294,0.9997919
301,0.9997975
304,0.0011653156
307,2.2696383e-06
309,0.45813942
310,7.2632315e-07
311,1.2687659e-05
312,7.928568e-08
314,0.00028990206
316,6.179175e-07
318,0.99997365
321,4.8676964e-05
326,1.5880478e-07
330,2.599329e-08
331,2.3516677e-06
332,0.0024762517
333,3.970631e-05
337,0.966138
338,0.0023833003
339,0.00078870397
340,9.35912e-07
344,0.8018269
346,0.12093484
348,1.3854871e-07
349,0.0028335252
350,0.15729737
351,6.4555746e-07
352,9.34283e-08
355,0.05682448
358,5.406592e-07
361,0.029641956
363,0.033440333
364,0.99999607
365,4.9249975e-06
366,5.6524505e-09
367,6.287681e-08
368,0.2816375
371,0.9962773
374,0.999998
378,4.4385662e-05
380,0.04806107
